Fecha,Hora,ubicacion,sensor,id,sector,estado,valor
2/1/25,03:39,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
2/1/25,04:06,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.80 °C
2/1/25,04:22,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
2/1/25,05:49,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.80 °C
2/1/25,09:02,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
2/1/25,09:56,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.70 °C
2/1/25,10:13,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
2/1/25,10:33,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.80 °C
2/1/25,11:20,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
2/1/25,11:43,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.90 °C
2/1/25,11:59,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
2/1/25,12:23,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.90 °C
2/1/25,12:39,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
2/1/25,12:56,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
2/1/25,13:13,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.30 °C
2/1/25,14:18,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.90 °C
4/1/25,09:16,Ed. Libertador,Detector,S1,ESTADO DEL GRUPO ELECTRÓGENO,Alarmado,ON
4/1/25,09:46,Ed. Libertador,Detector,S1,ESTADO DEL GRUPO ELECTRÓGENO,desalarmado,OFF
4/1/25,11:03,Ed. Tronador,Detector,S1,ESTADO DEL GRUPO ELECTRÓGENO,Alarmado,ON
4/1/25,11:21,Ed. Tronador,Tensión,24V,Voltaje Bateria,Alarmado,28.77 V
4/1/25,11:32,Ed. Tronador,Detector,S1,ESTADO DEL GRUPO ELECTRÓGENO,desalarmado,OFF
6/1/25,10:39,SE Edison,Detector,S1,Puerta Sala de comunicaciones,Alarmado,OFF
6/1/25,11:58,SE Edison,Detector,S1,Puerta Sala de comunicaciones,desalarmado,ON
6/1/25,14:18,SE Edison,Detector,S1,Puerta Sala de comunicaciones,Alarmado,ON
6/1/25,23:54,SE Morón,Tensión,Trifásica,Voltaje Fase T,Alarmado,0.00 V
6/1/25,23:55,SE Morón,Tensión,Trifásica,Voltaje fase R,Alarmado,0.00 V
7/1/25,00:00,SE Morón,Tensión,Trifásica,Voltaje Fase T,Alarmado,0.00 V
7/1/25,00:00,SE Morón,Tensión,Trifásica,Voltaje fase R,Alarmado,0.00 V
7/1/25,00:02,SE Edison,Detector,S1,Puerta Sala de comunicaciones,Alarmado,ON
7/1/25,08:12,SE San Alberto,Detector,S3,Estado Aire Acondicionado 3,Alarmado,OFF
7/1/25,09:53,SE Morón,Detector,S3,Estado Aire Acondicionado 3,Alarmado,OFF
